0	0	6.46518
0	1	3.04294
0	2	2.25329
0	3	2.61359
0	4	2.76297
1	0	6.46992
1	1	3.04294
1	2	2.25329
1	3	2.61359
1	4	2.76297
2	0	6.46992
2	1	3.04294
2	2	2.25329
2	3	2.60987
2	4	2.76297
3	0	6.46992
3	1	3.04294
3	2	2.25329
3	3	2.60987
3	4	2.76068
4	0	6.46992
4	1	3.04294
4	2	2.25329
4	3	2.69016
4	4	2.76068
5	0	6.46992
5	1	3.04294
5	2	2.25329
5	3	2.69016
5	4	2.76166
6	0	6.47371
6	1	3.04294
6	2	2.25329
6	3	2.69016
6	4	2.76166
7	0	6.47371
7	1	3.04294
7	2	2.25329
7	3	2.70014
7	4	2.76166
8	0	6.47371
8	1	3.04294
8	2	2.25329
8	3	2.70014
8	4	2.74325
9	0	6.47371
9	1	3.04294
9	2	2.25329
9	3	2.69732
9	4	2.74325
10	0	6.47371
10	1	3.04294
10	2	2.23903
10	3	2.69732
10	4	2.74325
11	0	6.47371
11	1	3.04294
11	2	2.37198
11	3	2.69732
11	4	2.74325
12	0	6.47371
12	1	3.07218
12	2	2.37198
12	3	2.69732
12	4	2.74325
13	0	6.47371
13	1	3.07218
13	2	2.37198
13	3	2.69732
13	4	2.71707
14	0	6.47371
14	1	3.07421
14	2	2.37198
14	3	2.69732
14	4	2.71707
15	0	6.47063
15	1	3.07421
15	2	2.37198
15	3	2.69732
15	4	2.71707
16	0	6.47063
16	1	3.07343
16	2	2.37198
16	3	2.69732
16	4	2.71707
17	0	6.47063
17	1	3.07016
17	2	2.37198
17	3	2.69732
17	4	2.71707
18	0	6.47063
18	1	3.07891
18	2	2.37198
18	3	2.69732
18	4	2.71707
19	0	6.46654
19	1	3.07891
19	2	2.37198
19	3	2.69732
19	4	2.71707
20	0	6.46356
20	1	3.07891
20	2	2.37198
20	3	2.69732
20	4	2.71707
21	0	6.46356
21	1	3.07891
21	2	2.37198
21	3	2.69732
21	4	2.71544
22	0	6.46356
22	1	3.07891
22	2	2.37198
22	3	2.69732
22	4	2.7031
23	0	6.46356
23	1	3.07891
23	2	2.37198
23	3	2.70744
23	4	2.7031
24	0	6.46053
24	1	3.07891
24	2	2.37198
24	3	2.70744
24	4	2.7031
25	0	6.46053
25	1	3.07891
25	2	2.37198
25	3	2.70744
25	4	2.69646
26	0	6.46053
26	1	3.07891
26	2	2.37198
26	3	2.70042
26	4	2.69646
27	0	6.46053
27	1	3.07891
27	2	2.37198
27	3	2.70042
27	4	2.69999
28	0	6.46053
28	1	3.07891
28	2	2.39163
28	3	2.70042
28	4	2.69999
29	0	6.46053
29	1	3.07891
29	2	2.3976
29	3	2.70042
29	4	2.69999
30	0	6.46053
30	1	3.07891
30	2	2.39817
30	3	2.70042
30	4	2.69999
31	0	6.44395
31	1	3.07891
31	2	2.39817
31	3	2.70042
31	4	2.69999
32	0	6.44395
32	1	3.08036
32	2	2.39817
32	3	2.70042
32	4	2.69999
33	0	6.44112
33	1	3.08036
33	2	2.39817
33	3	2.70042
33	4	2.69999
34	0	6.44375
34	1	3.08036
34	2	2.39817
34	3	2.70042
34	4	2.69999
35	0	6.44375
35	1	3.08036
35	2	2.39072
35	3	2.70042
35	4	2.69999
36	0	6.44375
36	1	3.08036
36	2	2.39072
36	3	2.70042
36	4	2.69699
37	0	6.44375
37	1	3.08036
37	2	2.39072
37	3	2.70042
37	4	2.69619
38	0	6.44375
38	1	3.08036
38	2	2.39072
38	3	2.70042
38	4	2.68853
39	0	6.44375
39	1	3.08036
39	2	2.39072
39	3	2.69288
39	4	2.68853
